23	172b8223-0d61-404b-8ffb-f46954200bc8	School Bag	500.00	4	1
41	ef3c0954-43c8-49f6-ae55-887136d07712	sport accessories	350.00	3	0
42	24260717-81b1-44b7-865f-11e155f15674	sport accessories	350.00	3	0
43	7b21ad48-4879-40df-9e1e-782df205f978	dental machine/hospital machine	550.00	3	0
9	7bc3bb0a-746a-4eae-af4b-844f2de5c921	Handbag	350.00	3	1
10	cef4a0ff-3e96-4236-9cff-dcd31eeeee8a	Shoes	350.00	3	1
15	3d49e7b5-b8a7-4fac-8f93-c589fb23425b	Phone Accessories	350.00	3	1
5	43b54bdd-aa0c-4e15-9cf6-26e0ced1c4cb	Bale of Clothes	600.00	3	1
35	7d40af0e-1d4a-4248-b6de-25fab8579146	GARMENT	600.00	3	1
22	f74e78e9-36f1-45ff-9b47-4f97ce57aeb9	Umbrella	350.00	1	1
21	e29a1437-4865-4d21-90ef-df51275e4518	Furniture	400.00	1	1
19	ae1d700e-8a65-4b9d-a839-10278d7b752c	Watch	550.00	1	1
44	3fc65690-d5f2-4ef0-9ed4-4708c1e91248	CAR SPARE PARTS (HEAVY)	500.00	3	1
17	250437e7-f5a9-4452-a009-e7bb4f5403f5	Car Battery	600.00	1	1
13	2acc5655-b3ba-4e81-9cff-2323b19d7d3f	Car Spare Parts	400.00	3	1
24	53abb63e-f6a4-42dc-b41b-d8e77d8f2904	Garment/cbm	450.00	3	1
16	b0abe47e-bd03-49fa-a6de-e6d670dc290d	Motorcycle Spare Parts	300.00	1	1
14	665c9726-6d93-4d14-8f8b-a0b94c44b900	Car Decorations	350.00	1	1
11	9675f425-65f1-4679-a06d-c312c03b3a5d	Machine	450.00	1	1
8	32b3a823-e59a-4112-bd02-602310fae4e0	Carton Mixture	500.00	1	1
7	6eab265a-1d52-4239-9e6e-adc75c458d07	Carton of Shoes	450.00	1	1
6	8d904893-1f02-4ea3-a3e9-f244322b578f	Carton of clothes	500.00	1	1
27	50c0fe98-f920-4730-9fb3-8d9b5b0c2b36	calculator	400.00	3	1
30	1a60c1d0-6c33-4a52-a3d9-1b7117f67fd1	toothpaste	500.00	3	1
28	d997fd96-5637-4977-a307-5f97514c90ff	soap	500.00	3	1
32	ab5bf3fd-b713-415d-b822-e03e6b84eec2	shampoo	500.00	5	1
34	8bc560cf-d6b9-48a6-9c2c-7f8ffc2a032e	daily supplies	400.00	4	1
36	b05c98b5-12bb-44da-9491-0bc871e279af	Hardware accessories	450.00	4	0
37	e4264124-2765-4f15-8094-4c37bd419a47	COC of Tanzania	600.00	4	0
38	b52b7900-48a2-4889-bd98-4d8b1e1f2c66	engine	600.00	4	0
39	dab22089-1c04-4346-9bc0-24712f976675	engine	600.00	4	0
40	c8fdf8f0-1505-4392-8521-b83c1e2df644	Stone Carving	600.00	4	0
20	ec51a50c-4488-459b-971b-e92739436812	Cap	500.00	4	1
33	c45b1548-4ae8-4adb-a0d1-27df49dded6b	Body Lotion	600.00	4	1
18	dd66e031-051e-4f96-992e-1762083e1824	Motorcycle Battery	600.00	4	1
12	32f12342-b6f6-43a3-bbea-c77466d5ee90	Tiles per Tone	600.00	4	1
26	91d6d99c-6bcf-49b0-b676-ba329f89e615	Cosmetics	600.00	4	1
31	590f2d6b-fd74-46d7-8649-ba3a43c41d1f	Dye hair cream	600.00	4	1
29	94eab6d4-2a1b-4386-b777-526563006c46	cosmetics	600.00	4	1
\.


