210	a8f0e967-b1d5-4ec2-b28f-3c76d296a828	4	PCIU8537315	PIL	DSM	2021-11-19	2021-12-31	2021-11-26 01:27:25.072423+00	2021-11-26 01:27:25.072432+00	3	Guangzhou	CP0190642	40HQ
177	44051771-c669-4c92-8d27-66dacff7047f	4	PCIU9376787	PIL	DSM	2021-10-27	2021-12-10	2021-11-01 07:51:10.1294+00	2021-11-01 07:51:10.129418+00	3	Guangzhou	CP0190705	40HQ
184	e475e23b-9d9c-4915-b2a3-3c8a9b7160fe	4	BMOU4969098	PIL	DSM	2021-11-01	2021-12-20	2021-11-05 05:45:14.957645+00	2021-11-05 05:45:14.95766+00	3	Guangzhou	CP0220848	40HQ
185	ba9ccf8d-819d-47c7-967a-f5fecb708b9e	4	CAIU7101910	PIL	DSM	2021-11-01	2021-12-20	2021-11-05 06:27:16.004893+00	2021-11-05 06:27:16.004904+00	3	Guangzhou	CP0190609	40HQ
335	b5cf31cc-0bf3-4bc4-877e-89ae008fc34f	4	ZCSU6593665	PIL	DSM	2022-03-10	2022-04-02	2022-03-14 02:46:45.090428+00	2022-03-14 02:46:45.090437+00	3	Guangzhou	A4210916936	40HQ
216	103256fe-53b1-43f4-9580-1fd1bb354b0f	4	PCIU8528463	PIL	DSM	2021-11-29	2022-01-30	2021-12-04 01:54:59.628549+00	2021-12-04 01:54:59.628563+00	3	Guangzhou	CM0606026	40HQ
156	07669de9-4acc-459f-8e9c-b9e94f12a5aa	4	PCIU8527615	PIL	DSM	2021-10-15	2021-11-30	2021-10-21 05:47:12.465756+00	2021-10-21 05:47:12.465771+00	3	Guangzhou	CP0224108	40HQ
89	e8016c52-efbf-4a71-92ad-fdc24845c5f1	4	CAIU9739652	PIL	DSM	2021-09-02	2021-10-27	2021-09-04 08:19:53.960704+00	2021-09-04 08:19:53.960714+00	3	Guangzhou	CM0987009	40HQ
157	a334deee-163e-4faa-b0bb-72a73bf69567	4	PCIU8902341	PIL	DSM	2021-10-15	2021-11-30	2021-10-21 07:28:58.691478+00	2021-10-21 07:28:58.691489+00	3	Guangzhou	CP0188311	40HQ
174	c23f987c-76b1-463e-9f8c-397940e0e4aa	4	PCIU9150742	PIL	DSM	2021-10-15	2021-11-30	2021-10-30 02:24:09.227436+00	2021-10-30 02:24:09.227452+00	3	Guangzhou	CP0224170	40HQ
890	8194db68-0f66-42e0-9a66-c6b06e807f56	4	FFAU4353550	PIL	DSM	2023-03-13	2023-04-17	2023-03-20 02:05:06.523361+00	2023-03-20 02:05:06.523372+00	507	Guangzhou	CQ0129333	40HQ
218	f46d084e-57ac-4646-81a3-cdbc205ba296	4	PCIU8671129	PIL	DSM	2021-12-02	2022-01-20	2021-12-04 05:32:44.537541+00	2021-12-04 05:32:44.537551+00	3	Guangzhou	CM0977533	40HQ
200	0f8b52b1-c689-4781-b639-4ec17273f42f	4	BSIU8007647	PIL	DSM	2021-11-09	2021-12-31	2021-11-17 05:55:56.905148+00	2021-11-17 05:55:56.905158+00	3	Guangzhou	CM0977658	40HQ
194	95b02176-904a-47cf-b2ea-0be9c83da415	4	TEMU6872053	PIL	DSM	2021-11-11	2021-12-31	2021-11-15 06:15:09.002223+00	2021-11-15 06:15:09.002237+00	3	Guangzhou	CP0190798	40HQ
192	fe7cf019-02ad-4e2e-9269-6fd30a8ca194	4	PCIU8885938	PIL	DSM	2021-11-08	2021-12-31	2021-11-12 09:00:16.179071+00	2021-11-12 09:00:16.179089+00	3	Guangzhou	CP0190766	40HQ
161	1a3133a9-3234-4dd1-90e7-4d85e72238b4	4	TCLU8007798	PIL	DSM	2021-10-20	2021-11-30	2021-10-23 07:33:55.58917+00	2021-10-23 07:33:55.589182+00	3	Guangzhou	CP0188377	40HQ
206	0b9e733a-a046-4d4a-9f7e-f53758808671	4	PCIU8877547	PIL	DSM	2021-11-17	2021-12-31	2021-11-23 05:48:11.300946+00	2021-11-23 05:48:11.300955+00	3	Guangzhou	CP0220844	40HQ
163	bd7b1e32-9e8b-41a3-acfa-1cce68463445	4	PCIU9445131	PIL	DSM	2021-10-20	2021-11-30	2021-10-25 07:08:34.694327+00	2021-10-25 07:08:34.694342+00	3	Guangzhou	CP0190768	40HQ
164	96a9a8a4-90bb-4b10-97d1-c415b570c09a	4	PCIU9209120	PIL	DSM	2021-10-21	2021-11-30	2021-10-26 02:06:17.628723+00	2021-10-26 02:06:17.628734+00	3	Guangzhou	CP0197122	40HQ
203	802cf6dd-b721-4e67-96b7-a5f1c6e69e70	4	PCIU8461164	PIL	DSM	2021-11-12	2021-12-31	2021-11-18 06:06:39.077292+00	2021-11-18 06:06:39.077302+00	3	Guangzhou	CM0190797	40HQ
226	abfcc142-fde8-4dd0-8815-e39dde3ec1de	4	PCIU8961560	PIL	DSM	2021-12-07	2022-01-30	2021-12-11 02:33:55.306419+00	2021-12-11 02:33:55.306431+00	3	Guangzhou	CP0223135	40HQ
81	1060c183-14f9-4282-a018-ca054984a2b6	4	ZCSU7243888	ZIM	DSM	2021-08-22	2021-10-10	2021-09-03 02:45:45.968746+00	2021-09-03 02:45:45.96876+00	3	Guangzhou	A4200207862	40HQ
172	4fa2c2e5-9c72-41a3-9b83-8d71f266fc35	4	PCIU8461858	PIL	DSM	2021-10-23	2021-11-30	2021-10-29 06:05:44.053709+00	2021-10-29 06:05:44.053718+00	3	Guangzhou	CP0226934	40HQ
175	b4207c00-7261-474a-81bb-12e4cb172e3f	4	PCIU8687634	PIL	DSM	2021-10-25	2021-12-01	2021-10-30 02:46:04.918502+00	2021-10-30 02:46:04.918512+00	3	Guangzhou	CP0190760	40HQ
222	5359fb72-e739-42b3-b007-d084106d3db7	4	ZCSU6537363	ZIM	DSM	2021-12-01	2021-12-25	2021-12-08 01:33:50.901425+00	2021-12-08 01:33:50.901435+00	3	Guangzhou	A4210546441	40HQ
228	a879281d-971c-4c2f-8d7a-6d82559279dd	4	TCNU7209370	HPL	DSM	2021-12-03	2022-01-25	2021-12-13 03:11:04.592034+00	2021-12-13 03:11:04.592044+00	3	Guangzhou	HLG1931942	40HQ
