1	4400	2022-10-22 12:07:40.321715+00	2022-10-22 12:07:40.321728+00	2329
2	6712	2022-10-22 12:10:50.406159+00	2022-10-22 12:10:50.406172+00	2329
3	7364	2022-10-22 12:12:24.265151+00	2022-10-22 12:12:24.265162+00	2329
4	3348	2022-10-22 12:14:14.130235+00	2022-10-22 12:14:14.130252+00	2329
5	2383	2022-10-22 12:14:40.243365+00	2022-10-22 12:14:40.243379+00	2329
6	4135	2022-10-22 12:15:37.870301+00	2022-10-22 12:15:37.870315+00	2329
7	3905	2022-10-22 12:18:12.853797+00	2022-10-22 12:18:12.853807+00	2329
8	1118	2022-10-22 12:22:56.001049+00	2022-10-22 12:22:56.001059+00	2329
9	4655	2022-10-22 13:02:31.207323+00	2022-10-22 13:02:31.207333+00	2329
10	1101	2022-10-22 14:09:20.48962+00	2022-10-22 14:09:20.489637+00	2329
11	7428	2022-10-22 14:11:35.07481+00	2022-10-22 14:11:35.07482+00	2329
12	1655	2022-10-22 14:19:59.412875+00	2022-10-22 14:19:59.412889+00	2329
13	9212	2022-10-22 16:15:42.06943+00	2022-10-22 16:15:42.069441+00	2329
14	9753	2022-10-24 10:53:32.712377+00	2022-10-24 10:53:32.712388+00	2329
15	1998	2022-10-24 14:40:44.643295+00	2022-10-24 14:40:44.64333+00	2329
16	8544	2022-10-25 07:32:03.972432+00	2022-10-25 07:32:03.972446+00	2329
17	7164	2022-10-25 07:43:40.236413+00	2022-10-25 07:43:40.236424+00	2329
18	8326	2022-10-25 10:32:46.87168+00	2022-10-25 10:32:46.871696+00	2329
19	0371	2022-10-25 10:34:33.001497+00	2022-10-25 10:34:33.001509+00	2329
20	3837	2022-10-25 10:42:04.999304+00	2022-10-25 10:42:04.999318+00	2329
21	9454	2022-10-25 12:25:38.006363+00	2022-10-25 12:25:38.006376+00	2329
22	4255	2022-10-25 13:40:55.414676+00	2022-10-25 13:40:55.414688+00	2329
23	7395	2022-10-25 13:45:11.140335+00	2022-10-25 13:45:11.140349+00	1022
24	3426	2022-10-25 13:45:49.850294+00	2022-10-25 13:45:49.850304+00	2
25	5564	2022-10-25 14:35:49.83264+00	2022-10-25 14:35:49.832654+00	2
26	6913	2022-10-25 15:49:29.0372+00	2022-10-25 15:49:29.037211+00	2405
27	8964	2022-10-26 05:43:37.861574+00	2022-10-26 05:43:37.861588+00	2405
