1	1	1	857	\N	\N	2023-02-18 06:39:35.682594+00	2023-02-18 06:39:35.682608+00	11
2	1	0	12	\N	\N	2023-02-18 06:53:49.335628+00	2023-02-18 06:53:49.33564+00	11
52	1	1	860	leo	\N	2023-03-22 06:53:09.046043+00	2023-03-22 06:53:09.046053+00	507
31	1	1	838	\N	\N	2023-03-07 07:52:55.664052+00	2023-03-07 07:52:55.664064+00	507
7	1	1	818	\N	\N	2023-02-20 20:25:00.27977+00	2023-02-20 20:25:00.279782+00	11
32	1	1	845	\N	\N	2023-03-07 07:54:39.870629+00	2023-03-07 07:54:39.870639+00	507
8	1	1	788	\N	\N	2023-02-20 20:27:33.341053+00	2023-02-20 20:27:33.341063+00	11
9	1	1	817	\N	\N	2023-02-21 14:21:20.090567+00	2023-02-21 14:21:20.090577+00	507
10	1	1	820	\N	\N	2023-02-22 12:04:24.040072+00	2023-02-22 12:04:24.040083+00	507
33	1	1	832	\N	\N	2023-03-07 07:55:46.80868+00	2023-03-07 07:55:46.808692+00	507
11	1	1	815	\N	\N	2023-02-22 12:07:37.218118+00	2023-02-22 12:07:37.218127+00	507
12	1	1	805	\N	\N	2023-02-23 15:25:21.561662+00	2023-02-23 15:25:21.561676+00	507
53	1	1	854	leo	\N	2023-03-22 06:53:50.650135+00	2023-03-22 06:53:50.650145+00	507
13	1	1	811	\N	\N	2023-02-23 15:27:29.654767+00	2023-02-23 15:27:29.654779+00	507
34	1	1	850	\N	\N	2023-03-08 06:02:05.420124+00	2023-03-08 06:02:05.420136+00	507
14	1	1	819	\N	\N	2023-02-24 14:25:07.665526+00	2023-02-24 14:25:07.665536+00	507
15	1	1	821	\N	\N	2023-02-24 14:26:27.156639+00	2023-02-24 14:26:27.156652+00	507
16	1	1	846	\N	\N	2023-02-26 16:16:41.338395+00	2023-02-26 16:16:41.338406+00	508
35	1	1	833	\N	\N	2023-03-09 05:55:32.430301+00	2023-03-09 05:55:32.430312+00	507
17	1	1	824	\N	\N	2023-02-26 16:19:29.184261+00	2023-02-26 16:19:29.184272+00	508
18	1	1	816	\N	\N	2023-02-28 20:55:26.078063+00	2023-02-28 20:55:26.078073+00	507
19	1	1	814	\N	\N	2023-02-28 20:57:07.214591+00	2023-02-28 20:57:07.214601+00	507
36	1	1	844	\N	\N	2023-03-11 06:50:49.504892+00	2023-03-11 06:50:49.504903+00	507
20	1	1	809	\N	\N	2023-03-01 14:34:38.309295+00	2023-03-01 14:34:38.30931+00	507
21	1	1	835	\N	\N	2023-03-01 14:37:50.450304+00	2023-03-01 14:37:50.450315+00	507
54	1	1	858	kesho	\N	2023-03-22 15:20:05.320096+00	2023-03-22 15:20:05.320109+00	507
22	1	1	829	\N	\N	2023-03-02 08:49:35.682781+00	2023-03-02 08:49:35.682792+00	11
37	1	1	827	\N	\N	2023-03-11 06:52:15.473317+00	2023-03-11 06:52:15.473329+00	507
23	1	0	660	\N	\N	2023-03-02 14:14:34.985537+00	2023-03-02 14:14:34.98555+00	511
24	1	1	837	\N	\N	2023-03-02 15:17:34.669116+00	2023-03-02 15:17:34.669128+00	507
25	1	1	825	\N	\N	2023-03-02 15:29:34.25118+00	2023-03-02 15:29:34.251192+00	507
38	1	1	843	leo	\N	2023-03-13 05:42:41.069231+00	2023-03-13 05:42:41.069244+00	507
26	1	1	839	\N	\N	2023-03-03 16:03:43.981117+00	2023-03-03 16:03:43.981129+00	507
27	1	1	834	\N	\N	2023-03-03 16:06:40.830064+00	2023-03-03 16:06:40.830075+00	507
66	1	1	877	leo	\N	2023-04-01 06:14:01.781044+00	2023-04-01 06:14:01.781057+00	507
28	1	1	841	\N	\N	2023-03-05 17:50:59.624402+00	2023-03-05 17:50:59.624417+00	11
39	1	1	849	leo	\N	2023-03-13 05:57:54.541462+00	2023-03-13 05:57:54.541476+00	507
29	1	1	840	\N	\N	2023-03-05 17:51:33.973841+00	2023-03-05 17:51:33.973854+00	11
30	1	0	889	\N	\N	2023-03-06 12:58:18.682122+00	2023-03-06 12:58:18.682135+00	504
55	1	1	853	kesho	\N	2023-03-22 15:20:51.320037+00	2023-03-22 15:20:51.320047+00	507
40	1	1	836	leo	\N	2023-03-14 05:49:20.816656+00	2023-03-14 05:49:20.816668+00	507
41	1	1	848	leo	\N	2023-03-14 05:50:52.380285+00	2023-03-14 05:50:52.380298+00	507
42	1	1	855	leo	\N	2023-03-15 06:18:33.99065+00	2023-03-15 06:18:33.990662+00	507
56	1	1	871	leo	\N	2023-03-29 05:28:41.217607+00	2023-03-29 05:28:41.217618+00	507
43	1	1	847	leo	\N	2023-03-15 06:21:56.619896+00	2023-03-15 06:21:56.619908+00	507
44	1	1	851	leo	\N	2023-03-16 05:21:28.0839+00	2023-03-16 05:21:28.083913+00	507
45	1	1	856	leo	\N	2023-03-16 05:22:45.867498+00	2023-03-16 05:22:45.867507+00	507
57	1	1	872	leo	\N	2023-03-29 05:29:46.941342+00	2023-03-29 05:29:46.941352+00	507
46	1	1	863	leo	\N	2023-03-20 05:35:32.399417+00	2023-03-20 05:35:32.399432+00	507
47	1	1	862	kesho	\N	2023-03-20 14:35:06.771693+00	2023-03-20 14:35:06.771702+00	507
67	1	1	879	leo	\N	2023-04-03 05:47:16.896679+00	2023-04-03 05:47:16.89669+00	507
48	1	1	864	kesho	\N	2023-03-20 14:37:21.083875+00	2023-03-20 14:37:21.083886+00	507
58	1	1	868	leo	\N	2023-03-29 05:31:02.245913+00	2023-03-29 05:31:02.245922+00	507
49	1	1	859	leo	\N	2023-03-22 05:34:44.542251+00	2023-03-22 05:34:44.542263+00	507
50	1	1	861	leo	\N	2023-03-22 05:35:49.259982+00	2023-03-22 05:35:49.259996+00	507
51	1	1	897	leo	\N	2023-03-22 05:37:43.370299+00	2023-03-22 05:37:43.370309+00	507
59	1	1	866	leo	\N	2023-03-29 05:32:06.644953+00	2023-03-29 05:32:06.644964+00	507
68	1	1	875	leo	\N	2023-04-03 05:48:19.295604+00	2023-04-03 05:48:19.295614+00	507
60	1	1	865	leo	\N	2023-03-30 05:23:21.841254+00	2023-03-30 05:23:21.841266+00	507
61	1	1	867	leo	\N	2023-03-30 05:24:40.884249+00	2023-03-30 05:24:40.884259+00	507
78	1	1	890	leo	\N	2023-04-17 05:26:39.511337+00	2023-04-17 05:26:39.51135+00	507
62	1	1	869	leo	\N	2023-03-30 05:26:06.647446+00	2023-03-30 05:26:06.647458+00	507
69	1	1	876	leo	\N	2023-04-04 05:47:25.575896+00	2023-04-04 05:47:25.575909+00	507
63	1	1	870	leo	\N	2023-03-31 05:46:14.352106+00	2023-03-31 05:46:14.35212+00	507
64	1	1	874	leo	\N	2023-04-01 06:11:33.960255+00	2023-04-01 06:11:33.960266+00	507
73	1	1	892	leo	\N	2023-04-08 07:15:51.340721+00	2023-04-08 07:15:51.340735+00	507
65	1	1	886	leo	\N	2023-04-01 06:12:43.908448+00	2023-04-01 06:12:43.908458+00	507
70	1	1	878	leo	\N	2023-04-05 05:19:47.710799+00	2023-04-05 05:19:47.71081+00	507
